concentration_CH4,concentration_CO2,concentration_H2,concentration_H2O,concentration_O2,pressure_bar,temperature_kelvin
0.00000163,0.02,0.02,0.0123,0.27,1.075,305.19
0.06,0.05,0.04,0.0123,0.22,1.1675,329.82
0.025,0.04,0.00000008,0.0123,0.2,1.1469,325.57
0.005,0.05,0.00000008,0.0123,0.18,1.0986,323.16
0.00000163,0.04,0.00000008,0.0123,0.55,1.0844,313.02
0.01,0.04,0.00000008,0.0123,0.16,1.1165,323.52
0.01,0.03,0.00000007,0.0123,0.21,1.0853,321.47
0.02,0.0004,0.03,0.0123,0.25,1.0799,311.57
0.025,0.04,0.00000008,0.0123,0.18,1.1429,325.44
0.00000163,0.02,0.00000008,0.0123,0.21,1.0294,306.91
0.03,0.0004,0.04,0.0123,0.25,1.0894,318.26
0.00000163,0.09,0.00000008,0.0123,0.22,1.115,319.24
0.00000163,0.0004,0.0000001,0.0123,0.16,1.0306,288.6
0.02,0.04,0.07,0.0123,0.2,1.1411,324.42
0.02,0.02,0.00000008,0.0123,0.2,1.1168,322.45
0.00000163,0.0004,0.00000007,0.0123,0.21,1.0294,288.57
0.01,0.02,0.09,0.0123,0.2,1.1165,320.57
0.01,0.02,0.00000009,0.0123,0.21,1.0681,319.7
0.00000163,0.04,0.01,0.0123,0.29,1.0901,313.4
0.02,0.02,0.00000009,0.0123,0.16,1.1176,321.91
0.04,0.0004,0.00000009,0.0123,0.2,1.0978,316.59
0.02,0.05,0.06,0.0123,0.21,1.0832,324.67
0.00000163,0.02,0.00000008,0.0123,0.2,1.0306,307
0.02,0.02,0.00000008,0.0123,0.18,1.1168,322.39
0.02,0.03,0.00000008,0.0123,0.21,1.1267,323.55
0.005,0.04,0.00000008,0.0123,0.21,1.0899,321.69
0.03,0.0004,0.09,0.0123,0.19,1.034,312.48
0.03,0.07,0.07,0.0123,0.21,1.1677,325.89
0.02,0.0004,0.00000008,0.0123,0.21,1.0712,317.7
0.00000163,0.01,0.07,0.0123,0.24,1.0575,303.12
0.005,0.02,0.00000008,0.0123,0.26,1.0656,318.73
0.03,0.01,0.02,0.0123,0.3,1.127,321.64
0.03,0.03,0.01,0.0123,0.19,1.1298,324.77
0.01,0.01,0.00000009,0.0123,0.24,1.057,316.97
0.06,0.02,0.02,0.0123,0.28,1.1189,323.21
0.00000163,0.08,0.00000008,0.0123,0.18,1.1014,317.1
0.005,0.09,0.00000008,0.0123,0.1,1.1151,325.55
0.01,0.04,0.04,0.0123,0.22,1.1319,323.59
0.005,0.04,0.00000008,0.0123,0.24,1.0859,321.64
0.00000163,0.05,0.06,0.0123,0.17,1.0326,311.39
0.00000163,0.04,0.00000008,0.0123,0.32,1.0675,312.76
0.09,0.0004,0.04,0.0123,0.23,1.1109,318.03
0.05,0.0004,0.00000009,0.0123,0.21,1.1031,316.2
0.01,0.06,0.00000008,0.0123,0.4,1.1016,324.72
0.02,0.0004,0.03,0.0123,0.3,1.08,311.73
0.00000163,0.04,0.00000009,0.0123,0.12,1.0747,313.99
0.04,0.01,0.00000008,0.0123,0.25,1.0611,319.8
0.00000163,0.0004,0.00000008,0.0123,0.35,1.0305,288.5
0.00000163,0.04,0.00000008,0.0123,0.16,1.0922,314.64
0.025,0.03,0.00000008,0.0123,0.21,1.1395,324.31
0.01,0.03,0.00000008,0.0123,0.06,1.0828,320.61
0.00000163,0.01,0.00000008,0.0123,0.35,1.0604,304.91
0.00000163,0.07,0.05,0.0123,0.17,1.0742,314.02
0.00000163,0.03,0.06,0.0123,0.17,1.0726,309.52
0.01,0.04,0.00000008,0.0123,0.14,1.0872,322.28
0.00000163,0.02,0.00000009,0.0123,0.2,1.0752,309.74
0.1,0.06,0.00000008,0.0123,0.23,1.1685,331.25
0.01,0.02,0.04,0.0123,0.27,1.1115,320.17
0.045,0.01,0.00000008,0.0123,0.16,1.1257,322
0.00000163,0.06,0.07,0.0123,0.2,1.0901,313.57
0.01,0.02,0.00000007,0.0123,0.16,1.0752,319.69
0.035,0.01,0.00000009,0.0123,0.21,1.1223,321.26
0.03,0.0004,0.01,0.0123,0.21,1.0795,313.35
0.03,0.03,0.00000008,0.0123,0.24,1.14,324.74
0.00000163,0.0004,0.02,0.0123,0.21,1.0294,292.55
