concentration_CH4,concentration_CO2,concentration_H2,concentration_H2O,concentration_O2,pressure_bar,temperature_kelvin
0.01,0.01,0.00000008,0.0123,0.16,1.0548,316.77
0.02,0.01,0.00000008,0.0123,0.18,1.0936,319.66
0.00000163,0.01,0.00000008,0.0123,0.18,1.0294,303.81
0.00000163,0.0004,0.00000007,0.0123,0.22,1.0306,288.58
0.02,0.0004,0.02,0.0123,0.22,1.0357,307.89
0.01,0.06,0.00000008,0.0123,0.16,1.1047,322.7
0.01,0.02,0.02,0.0123,0.16,1.0599,319.81
0.02,0.07,0.04,0.0123,0.2,1.1255,326.18
0.005,0.0004,0.00000008,0.0123,0.06,1.0308,306.37
0.03,0.02,0.00000008,0.0123,0.32,1.1349,323.51
0.03,0.01,0.00000008,0.0123,0.24,1.1182,321.03
0.00000163,0.05,0.01,0.0123,0.26,1.0911,314.55
0.06,0.03,0.02,0.0123,0.19,1.1614,325.7
0.025,0.01,0.00000008,0.0123,0.3,1.1183,320.82
0.02,0.01,0.02,0.0123,0.24,1.1183,319.74
0.01,0.06,0.00000008,0.0123,0.26,1.1002,324.51
0.005,0.06,0.00000008,0.0123,0.04,1.1059,323.38
0.005,0.01,0.00000008,0.0123,0.26,1.057,315.69
0.01,0.03,0.00000009,0.0123,0.22,1.1272,322.59
0.00000163,0.06,0.02,0.0123,0.18,1.0925,314.52
0.00000163,0.0004,0.00000008,0.0123,0.22,1.0293,287.41
0.025,0.03,0.00000008,0.0123,0.21,1.1392,324.39
0.03,0.0004,0.00000008,0.0123,0.22,1.1068,315.05
0.01,0.01,0.00000007,0.0123,0.24,1.0569,316.97
0.00000163,0.0004,0.00000008,0.0123,0.14,1.0294,287.43
0.04,0.02,0.08,0.0123,0.21,1.0679,322.87
0.02,0.0004,0.00000007,0.0123,0.2,1.072,317.73
0.01,0.01,0.00000009,0.0123,0.21,1.0573,317
0.015,0.02,0.00000008,0.0123,0.22,1.112,322.11
0.01,0.04,0.00000008,0.0123,0.28,1.0861,322.87
0.00000163,0.05,0.04,0.0123,0.19,1.0726,312.3
0.00000163,0.07,0.00000008,0.0123,0.08,1.0968,317.9
0.00000163,0.04,0.00000008,0.0123,0.4,1.0726,312.76
0.035,0.0004,0.00000008,0.0123,0.12,1.0924,316.13
0.03,0.08,0.00000008,0.0123,0.27,1.174,328.73
0.00000163,0.0004,0.00000008,0.0123,0.1,1.0294,288.59
0.01,0.01,0.00000009,0.0123,0.08,1.0625,316.52
0.005,0.01,0.00000008,0.0123,0.3,1.0569,315.63
0.00000163,0.0004,0.01,0.0123,0.26,1.0355,294.19
0.04,0.02,0.00000008,0.0123,0.18,1.1376,323.75
0.00000163,0.0004,0.00000008,0.0123,0.16,1.0294,287.42
0.02,0.0004,0.00000009,0.0123,0.16,1.0718,317.96
0.01,0.04,0.00000008,0.0123,0.18,1.0928,322.74
0.01,0.01,0.00000007,0.0123,0.21,1.0573,316.91
0.00000163,0.0004,0.09,0.0123,0.26,1.0355,293.12
0.00000163,0.02,0.01,0.0123,0.21,1.0658,305.15
0.005,0.04,0.00000008,0.0123,0.24,1.0916,321.81
0.02,0.03,0.02,0.0123,0.2,1.0749,322.84
0.03,0.01,0.00000008,0.0123,0.26,1.1183,321.05
0.005,0.07,0.00000008,0.0123,0.21,1.1064,324.22
0.00000163,0.0004,0.04,0.0123,0.26,1.0358,287.9
0.00000163,0.06,0.00000008,0.0123,0.12,1.0902,316.7
0.01,0.03,0.00000008,0.0123,0.16,1.0841,321.4
0.015,0.0004,0.00000008,0.0123,0.4,1.0623,315.74
0.00000163,0.0004,0.08,0.0123,0.23,1.0316,290.34
0.01,0.05,0.04,0.0123,0.24,1.0693,323.12
0.00000163,0.14,0.00000008,0.0123,0.2,1.122,322.31
0.025,0.03,0.00000008,0.0123,0.21,1.1395,324.39
0.00000163,0.01,0.03,0.0123,0.14,1.0549,300.64
0.025,0.0004,0.00000008,0.0123,0.08,1.0702,314.29
0.02,0.03,0.00000008,0.0123,0.22,1.1273,323.57
0.03,0.01,0.00000008,0.0123,0.32,1.1212,321.22
0.00000163,0.04,0.00000008,0.0123,0.16,1.0661,313.14
0.005,0.04,0.00000009,0.0123,0.28,1.0921,321.94
0.02,0.04,0.00000008,0.0123,0.24,1.0861,323.55
0.01,0.03,0.01,0.0123,0.29,1.1309,322.96
0.1,0.0004,0.04,0.0123,0.21,1.0921,319.14
0.00000163,0.02,0.00000009,0.0123,0.22,1.0293,307.65
0.01,0.0004,0.00000008,0.0123,0.25,1.0708,314.19
0.01,0.07,0.00000008,0.0123,0.12,1.1073,325.23
0.00000163,0.04,0.00000008,0.0123,0.04,1.0904,314.76
0.03,0.0004,0.00000008,0.0123,0.21,1.107,316
0.00000163,0.06,0.00000009,0.0123,0.4,1.09,315.97
0.02,0.07,0.00000008,0.0123,0.24,1.1506,327.05
0.05,0.02,0.02,0.0123,0.18,1.1402,323.74
0.04,0.01,0.00000009,0.0123,0.21,1.1249,321.83
0.03,0.01,0.03,0.0123,0.27,1.057,319.87
0.02,0.03,0.01,0.0123,0.27,1.1367,325.2
0.00000163,0.04,0.00000007,0.0123,0.16,1.0684,313.84
0.04,0.02,0.03,0.0123,0.28,1.136,323.61
0.02,0.0004,0.08,0.0123,0.23,1.0798,313.42
0.005,0.0004,0.00000008,0.0123,0.24,1.0293,305.97
0.01,0.08,0.02,0.0123,0.22,1.1566,326.31
0.06,0.02,0.00000008,0.0123,0.18,1.1382,324.57
0.025,0.0004,0.00000008,0.0123,0.18,1.1009,315.08
0.01,0.0004,0.01,0.0123,0.19,1.0796,308.93
0.00000163,0.04,0.00000008,0.0123,0.24,1.0845,314.21
0.01,0.07,0.00000008,0.0123,0.26,1.1067,325.32
0.04,0.01,0.02,0.0123,0.22,1.1145,320.62
0.01,0.04,0.00000008,0.0123,0.21,1.0845,322.6
0.04,0.01,0.06,0.0123,0.21,1.0994,321.3
0.02,0.02,0.00000008,0.0123,0.21,1.1169,322.52
0.04,0.01,0.03,0.0123,0.16,1.1361,321.78
0.00000163,0.11,0.00000008,0.0123,0.21,1.1145,320.25
0.005,0.02,0.00000008,0.0123,0.25,1.0737,318.89
0.00000163,0.02,0.06,0.0123,0.23,1.0636,307.82
0.00000163,0.0004,0.00000008,0.0123,0.04,1.0294,288.73
0.00000163,0.02,0.02,0.0123,0.24,1.0657,304.26
0.00000163,0.03,0.05,0.0123,0.19,1.0748,309.76
0.00000163,0.0004,0.14,0.0123,0.22,1.0348,297.7
0.02,0.03,0.01,0.0123,0.18,1.0784,322.91
0.01,0.0004,0.00000008,0.0123,0.28,1.0306,308.64
0.02,0.01,0.02,0.0123,0.29,1.0517,319.15
0.045,0.0004,0.00000008,0.0123,0.21,1.1014,316.48
0.05,0.01,0.02,0.0123,0.19,1.0554,321.32
0.02,0.0004,0.05,0.0123,0.28,1.0723,316.45
0.005,0.05,0.00000008,0.0123,0.32,1.0982,323.37
0.00000163,0.04,0.00000007,0.0123,0.21,1.0681,313.62
0.005,0.03,0.00000008,0.0123,0.22,1.0789,320.33
0.01,0.01,0.02,0.0123,0.23,1.1059,317.28
0.07,0.03,0.02,0.0123,0.21,1.1361,325.31
0.045,0.0004,0.00000008,0.0123,0.12,1.0997,317.06
0.02,0.0004,0.03,0.0123,0.24,1.0295,311.09
0.025,0.02,0.00000008,0.0123,0.18,1.1276,322.68
0.005,0.03,0.00000008,0.0123,0.26,1.0784,320.64
0.03,0.0004,0.01,0.0123,0.18,1.0796,313
0.01,0.0004,0.00000009,0.0123,0.28,1.0306,308.64
0.01,0.02,0.00000008,0.0123,0.12,1.0686,319.48
0.015,0.0004,0.00000009,0.0123,0.22,1.0634,316.28
0.02,0.0004,0.09,0.0123,0.22,1.0798,313.14
0.015,0.06,0.00000008,0.0123,0.21,1.1441,325.97
0.01,0.08,0.00000008,0.0123,0.2,1.0975,325.74
0.00000163,0.03,0.00000007,0.0123,0.16,1.0682,312.43
0.02,0.02,0.00000008,0.0123,0.21,1.1173,322.53
0.03,0.02,0.02,0.0123,0.22,1.1274,323.06
0.005,0.01,0.00000008,0.0123,0.18,1.0573,315.59
0.01,0.0004,0.00000008,0.0123,0.25,1.0294,308.56
0.07,0.03,0.01,0.0123,0.25,1.1367,327.98
0.00000163,0.0004,0.00000008,0.0123,0.3,1.0293,288.53
0.03,0.0004,0.00000007,0.0123,0.2,1.1069,315.54
0.04,0.03,0.00000008,0.0123,0.16,1.1309,324.98
0.005,0.08,0.00000008,0.0123,0.16,1.1136,324.65
0.02,0.05,0.00000008,0.0123,0.26,1.1411,326.15
0.02,0.06,0.00000008,0.0123,0.26,1.148,326.5
0.00000163,0.01,0.00000008,0.0123,0.24,1.0294,302.75
0.03,0.02,0.00000008,0.0123,0.22,1.1331,323.38
0.03,0.07,0.04,0.0123,0.23,1.1707,327.86
0.01,0.02,0.02,0.0123,0.16,1.0599,319.81
0.035,0.03,0.00000008,0.0123,0.21,1.1444,325.17
0.02,0.03,0.00000008,0.0123,0.21,1.1278,323.59
0.00000163,0.0004,0.00000007,0.0123,0.14,1.0306,288.61
0.00000163,0.07,0.00000009,0.0123,0.14,1.1,317.91
0.005,0.02,0.00000008,0.0123,0.14,1.0685,318.33
0.01,0.02,0.00000008,0.0123,0.23,1.0715,319.8
0.015,0.05,0.00000008,0.0123,0.22,1.1335,325.24
0.03,0.0004,0.00000008,0.0123,0.14,1.072,311.73
0.01,0.0004,0.00000008,0.0123,0.24,1.0306,308.78
0.02,0.06,0.03,0.0123,0.14,1.1517,326.49
0.005,0.08,0.00000008,0.0123,0.32,1.1091,325.74
0.00000163,0.02,0.00000008,0.0123,0.12,1.0747,309.75
0.00000163,0.02,0.00000009,0.0123,0.21,1.0294,306.91
0.00000163,0.04,0.05,0.0123,0.23,1.0828,311.42
0.01,0.0004,0.00000007,0.0123,0.16,1.0306,309.09
0.005,0.0004,0.00000007,0.0123,0.26,1.0306,306.08
0.01,0.02,0.00000009,0.0123,0.22,1.0681,319.7
0.01,0.01,0.00000009,0.0123,0.32,1.0568,316.98
0.03,0.0004,0.04,0.0123,0.24,1.0834,310.97
0.01,0.0004,0.00000008,0.0123,0.21,1.0306,308.89
0.01,0.04,0.01,0.0123,0.24,1.086,323.12
0.02,0.05,0.00000008,0.0123,0.32,1.1413,326.26
0.01,0.01,0.00000008,0.0123,0.18,1.0574,314.68
0.005,0.01,0.00000008,0.0123,0.24,1.0546,315.39
0.00000163,0.0004,0.03,0.0123,0.21,1.0355,288.52
0.00000163,0.02,0.00000008,0.0123,0.6,1.0723,308.62
0.00000163,0.0004,0.04,0.0123,0.25,1.0358,287.88
0.02,0.0004,0.05,0.0123,0.27,1.0697,308.91
0.08,0.0004,0.04,0.0123,0.21,1.0913,315.43
0.00000163,0.06,0.00000008,0.0123,0.12,1.1012,317.18
0.03,0.09,0.00000008,0.0123,0.28,1.1571,328.5
0.00000163,0.04,0.00000009,0.0123,0.21,1.0742,313.99
0.04,0.02,0.00000008,0.0123,0.12,1.1362,323.2
0.01,0.01,0.00000008,0.0123,0.12,1.0576,316.77
0.025,0.0004,0.00000008,0.0123,0.02,1.0918,310.35
0.01,0.09,0.00000008,0.0123,0.16,1.1154,326.81
0.01,0.11,0.00000008,0.0123,0.24,1.1461,327.35
0.01,0.01,0.00000008,0.0123,0.08,1.0619,316.51
0.00000163,0.2,0.00000009,0.0124,0.21,1.1363,324.35
0.00000163,0.05,0.00000008,0.0123,0.2,1.0791,315.18
0.005,0.01,0.00000008,0.0123,0.18,1.0573,315.59
0.07,0.02,0.03,0.0123,0.2,1.1246,323.88
0.025,0.02,0.00000008,0.0123,0.32,1.1321,323.19
0.02,0.01,0.01,0.0123,0.19,1.0514,319.32
0.03,0.02,0.00000008,0.0123,0.16,1.1319,323.24
0.005,0.0004,0.00000008,0.0123,0.1,1.0306,306.25
0.03,0.04,0.03,0.0123,0.21,1.1521,327.61
0.02,0.0004,0.00000008,0.0123,0.06,1.0724,309.53
0.015,0.05,0.00000008,0.0123,0.24,1.1365,325.26
0.03,0.07,0.00000008,0.0123,0.26,1.157,327.67
0.02,0.06,0.00000008,0.0123,0.24,1.1467,326.55
0.06,0.06,0.01,0.0123,0.25,1.1453,328.43
0.02,0.01,0.07,0.0123,0.21,1.0506,319.1
0.02,0.04,0.02,0.0123,0.24,1.1329,325.17
0.00000163,0.09,0.04,0.0123,0.25,1.0802,315.87
0.03,0.01,0.01,0.0123,0.23,1.0519,320.31
0.025,0.01,0.00000008,0.0123,0.2,1.1152,320.62
0.02,0.04,0.00000008,0.0123,0.23,1.086,323.69
0.00000163,0.06,0.00000008,0.0123,0.29,1.0992,316.8
0.00000163,0.04,0.05,0.0123,0.15,1.08,311.24
0.005,0.01,0.00000008,0.0123,0.04,1.0625,314.85
0.01,0.04,0.06,0.0123,0.19,1.0692,322.34
0.00000163,0.02,0.00000008,0.0123,0.21,1.0658,308.85
0.01,0.05,0.00000009,0.0123,0.16,1.0956,323.83
0.02,0.01,0.00000008,0.0123,0.22,1.1032,320.17
0.01,0.01,0.05,0.0123,0.25,1.0567,317.22
0.025,0.01,0.00000009,0.0123,0.2,1.1152,320.6
0.00000163,0.09,0.00000008,0.0123,0.26,1.1058,319.16
0.02,0.06,0.00000008,0.0123,0.14,1.1429,326.28
0.03,0.0004,0.00000008,0.0123,0.16,1.108,316.03
0.03,0.01,0.04,0.0123,0.19,1.1126,322.47
0.005,0.02,0.00000008,0.0123,0.14,1.0683,318.32
0.01,0.09,0.00000008,0.0123,0.21,1.1126,326.07
0.005,0.04,0.00000008,0.0123,0.22,1.0863,321.8
0.00000163,0.01,0.00000008,0.0123,0.18,1.0547,305.09
0.00000163,0.07,0.08,0.0123,0.2,1.0725,314.02
0.04,0.01,0.00000008,0.0123,0.35,1.1261,322.01
0.005,0.01,0.00000009,0.0123,0.21,1.0614,315.83
0.06,0.0004,0.00000008,0.0123,0.28,1.0986,316
0.01,0.03,0.00000008,0.0123,0.08,1.0829,320.72
0.005,0.0004,0.00000008,0.0123,0.12,1.0294,306.01
0.01,0.0004,0.03,0.0123,0.3,1.0367,305.79
0.01,0.01,0.05,0.0123,0.19,1.1041,318.29
0.00000163,0.12,0.02,0.0123,0.26,1.0981,318.06
0.02,0.01,0.11,0.0123,0.23,1.1156,320.69
0.005,0.02,0.00000009,0.0123,0.1,1.0749,318.29
0.005,0.03,0.00000008,0.0123,0.14,1.0847,320.31
0.01,0.01,0.03,0.0123,0.15,1.1051,317.21
0.08,0.01,0.00000008,0.0123,0.21,1.1247,322.52
0.01,0.0004,0.00000008,0.0123,0.22,1.0294,308.7
0.00000163,0.01,0.00000008,0.0123,0.32,1.0608,305
0.03,0.0004,0.00000008,0.0123,0.15,1.0818,311.87
0.035,0.02,0.00000008,0.0123,0.2,1.1341,323.61
0.02,0.06,0.00000008,0.0123,0.21,1.1445,326.41
0.02,0.09,0.00000008,0.0123,0.26,1.1579,328.21
0.00000163,0.0004,0.00000008,0.0123,0.28,1.0306,288.55
0.04,0.08,0.00000008,0.0123,0.22,1.16,328.89
0.01,0.01,0.00000008,0.0123,0.2,1.0573,316.92
0.04,0.0004,0.00000008,0.0123,0.3,1.0888,316.76
0.02,0.02,0.00000008,0.0123,0.21,1.1169,322.52
0.02,0.0004,0.08,0.0123,0.2,1.0798,313.41
0.04,0.04,0.02,0.0123,0.3,1.1584,326.48
0.005,0.05,0.00000008,0.0123,0.24,1.0987,323.15
0.00000163,0.01,0.00000008,0.0123,0.24,1.0604,305.2
0.05,0.06,0.00000008,0.0123,0.22,1.1705,328.04
0.00000163,0.02,0.00000008,0.0123,0.1,1.0307,307.95
0.00000163,0.03,0.00000008,0.0123,0.24,1.0793,311.97
0.00000163,0.02,0.07,0.0123,0.21,1.0677,307.66
0.00000163,0.04,0.00000009,0.0123,0.24,1.068,313.1
0.035,0.01,0.00000008,0.0123,0.24,1.122,321.3
0.00000163,0.01,0.09,0.0123,0.17,1.0571,304.18
0.01,0.02,0.00000008,0.0123,0.2,1.0659,319.58
0.03,0.0004,0.00000008,0.0123,0.3,1.1055,313.61
0.00000163,0.04,0.06,0.0123,0.26,1.0333,310.98
0.035,0.01,0.00000008,0.0123,0.1,1.1187,320.81
0.035,0.0004,0.00000008,0.0123,0.21,1.0994,316.34
0.005,0.0004,0.00000008,0.0123,0.24,1.0306,306.11
0.00000163,0.07,0.00000008,0.0123,0.16,1.1021,317.96
0.005,0.04,0.00000008,0.0123,0.14,1.0901,321.43
0.005,0.0004,0.00000008,0.0123,0.14,1.0306,306.49
0.00000163,0.0004,0.02,0.0123,0.1,1.0353,288.87
0.03,0.0004,0.06,0.0123,0.17,1.0314,312.67
0.05,0.05,0.01,0.0123,0.23,1.1636,327.34
0.005,0.03,0.00000008,0.0123,0.08,1.083,319.8
0.01,0.06,0.02,0.0123,0.21,1.1442,324.92
0.00000163,0.0004,0.00000009,0.0123,0.2,1.0306,288.58
0.00000163,0.04,0.00000009,0.0123,0.2,1.0905,314.59
0.005,0.07,0.00000008,0.0123,0.22,1.1075,324.92
0.015,0.01,0.00000007,0.0123,0.2,1.1035,319.15
0.01,0.0004,0.08,0.0123,0.2,1.0695,310.34
0.02,0.06,0.00000008,0.0123,0.21,1.1446,326.53
0.05,0.01,0.00000008,0.0123,0.21,1.0546,319.99
0.02,0.04,0.00000008,0.0123,0.26,1.1319,324.78
0.02,0.05,0.00000008,0.0123,0.21,1.1393,325.95
0.05,0.02,0.00000008,0.0123,0.21,1.142,324.43
0.005,0.0004,0.00000008,0.0123,0.22,1.0306,306.18
0.01,0.04,0.00000008,0.0123,0.25,1.0864,322.78
0.02,0.01,0.00000008,0.0123,0.18,1.0938,319.56
0.00000163,0.08,0.00000008,0.0123,0.28,1.1005,318.53
0.02,0.02,0.00000008,0.0123,0.25,1.0677,320.9
0.08,0.0004,0.02,0.0123,0.25,1.1054,316.75
0.005,0.05,0.00000008,0.0123,0.18,1.0962,323.08
0.00000163,0.04,0.02,0.0123,0.21,1.086,311.93
0.00000163,0.0004,0.00000008,0.0123,0.28,1.0306,288.57
0.025,0.0004,0.00000008,0.0123,0.2,1.0848,312.84
0.005,0.06,0.00000008,0.0123,0.24,1.1001,323.5
0.05,0.05,0.01,0.0123,0.2,1.1623,328.84
0.02,0.01,0.00000008,0.0123,0.08,1.1016,319.08
0.01,0.01,0.04,0.0123,0.22,1.0548,317.02
0.03,0.0004,0.14,0.0123,0.21,1.0424,314.43
0.03,0.0004,0.00000009,0.0123,0.2,1.1079,315.25
0.00000163,0.0004,0.00000008,0.0123,0.2,1.0294,287.42
0.015,0.0004,0.00000008,0.0123,0.04,1.0642,308.13
0.015,0.03,0.00000008,0.0123,0.24,1.122,323.19
0.01,0.0004,0.00000008,0.0123,0.2,1.0294,308.74
0.03,0.0004,0.00000008,0.0123,0.21,1.083,315.27
0.01,0.0004,0.04,0.0123,0.2,1.0296,308.23
0.05,0.0004,0.00000008,0.0123,0.11,1.0294,316.41
0.035,0.03,0.00000008,0.0123,0.21,1.1444,325.17
0.00000163,0.03,0.00000008,0.0123,0.26,1.0569,310.75
0.01,0.05,0.07,0.0123,0.22,1.0782,323
0.00000163,0.02,0.00000008,0.0123,0.22,1.0681,309.65
0.00000163,0.02,0.00000009,0.0123,0.2,1.0306,307.75
0.06,0.02,0.02,0.0123,0.24,1.1392,324.01
0.015,0.03,0.00000008,0.0123,0.18,1.1217,322.99
0.03,0.02,0.00000008,0.0123,0.24,1.1279,323.33
0.01,0.09,0.03,0.0123,0.2,1.1427,326.71
0.00000163,0.0004,0.00000008,0.0123,0.12,1.0294,288.58
0.01,0.02,0.00000008,0.0123,0.04,1.0692,318.52
0.00000163,0.01,0.00000008,0.0123,0.02,1.0311,304.48
0.015,0.01,0.00000008,0.0123,0.32,1.0989,319.19
0.02,0.01,0.00000009,0.0123,0.08,1.1015,319.27
0.01,0.0004,0.00000008,0.0123,0.32,1.0306,308.49
0.00000163,0.02,0.00000008,0.0123,0.16,1.0306,307.84
0.07,0.02,0.01,0.0123,0.18,1.1448,324.3
0.00000163,0.07,0.01,0.0123,0.23,1.1031,316.82
0.01,0.08,0.00000008,0.0123,0.28,1.1128,325.87
0.01,0.03,0.00000008,0.0123,0.18,1.0845,321.36
0.00000163,0.03,0.00000009,0.0123,0.2,1.0751,311.77
0.02,0.02,0.03,0.0123,0.2,1.1308,322.01
0.00000163,0.0004,0.00000008,0.0123,0.14,1.0306,288.6
0.005,0.03,0.00000008,0.0123,0.08,1.0834,319.78
0.02,0.01,0.04,0.0123,0.18,1.1182,319.59
0.00000163,0.02,0.02,0.0123,0.3,1.0587,308
0.04,0.02,0.00000008,0.0123,0.21,1.1379,323.96
0.03,0.0004,0.05,0.0123,0.17,1.0785,312.07
0.02,0.0004,0.01,0.0123,0.18,1.0354,308.01
0.00000163,0.02,0.00000008,0.0123,0.04,1.0688,309.85
0.02,0.0004,0.03,0.0123,0.15,1.0294,310.97
0.04,0.0004,0.06,0.0123,0.25,1.0334,311.45
0.01,0.06,0.00000008,0.0123,0.28,1.1028,324.64
0.03,0.01,0.02,0.0123,0.23,1.1139,321.28
0.005,0.02,0.00000008,0.0123,0.16,1.0661,318.55
0.00000163,0.01,0.00000008,0.0123,0.04,1.0308,304.23
0.01,0.03,0.01,0.0123,0.19,1.0797,321.94
0.015,0.01,0.00000008,0.0123,0.3,1.0979,319.15
0.00000163,0.0004,0.00000007,0.0123,0.14,1.0294,288.58
0.015,0.0004,0.00000009,0.0123,0.18,1.0629,316.26
0.01,0.04,0.00000007,0.0123,0.21,1.0873,322.69
0.00000163,0.06,0.00000009,0.0123,0.16,1.0882,316.57
0.005,0.04,0.00000009,0.0123,0.14,1.1099,322.01
0.00000163,0.02,0.01,0.0123,0.29,1.0733,306.39
0.00000163,0.06,0.00000008,0.0123,0.21,1.0845,316.19
0.00000163,0.1,0.00000008,0.0123,0.23,1.1081,319.26
0.00000163,0.11,0.00000008,0.0123,0.19,1.12,314.19
0.05,0.02,0.00000008,0.0123,0.22,1.0741,320.68
0.015,0.04,0.00000008,0.0123,0.18,1.1284,324.12
0.00000163,0.0004,0.05,0.0123,0.12,1.0306,293.43
0.01,0.01,0.00000008,0.0123,0.4,1.0564,317.19
0.02,0.02,0.00000008,0.0123,0.26,1.1064,321.63
0.005,0.07,0.00000008,0.0123,0.24,1.1087,325.04
0.06,0.03,0.03,0.0123,0.21,1.1253,325.75
0.015,0.03,0.00000008,0.0123,0.1,1.1194,322.52
0.00000163,0.02,0.00000008,0.0123,0.26,1.0656,309.41
0.00000163,0.11,0.00000008,0.0123,0.26,1.1145,320.27
0.04,0.01,0.00000008,0.0123,0.12,1.122,321.37
0.00000163,0.0004,0.04,0.0123,0.17,1.0355,287.64
0.005,0.04,0.00000008,0.0123,0.16,1.0925,321.58
0.03,0.0004,0.02,0.0123,0.23,1.0687,314.86
0.00000163,0.05,0.00000008,0.0123,0.28,1.0777,314.95
0.035,0.01,0.00000008,0.0123,0.26,1.1235,321.54
0.015,0.02,0.00000009,0.0123,0.3,1.1126,322.32
0.00000163,0.09,0.00000008,0.0123,0.21,1.1067,319.17
0.00000163,0.0004,0.00000008,0.0123,0.21,1.0306,288.58
0.01,0.0004,0.00000008,0.0123,0.25,1.0306,308.75
0.005,0.05,0.00000008,0.0123,0.21,1.097,322.92
0.01,0.01,0.02,0.0123,0.29,1.1058,318.73
0.005,0.07,0.00000008,0.0123,0.22,1.1089,324.32
0.005,0.0004,0.00000008,0.0123,0.18,1.0294,305.85
0.02,0.08,0.09,0.0123,0.21,1.1659,325.62
0.005,0.01,0.00000008,0.0123,0.21,1.0546,315.51
0.00000163,0.02,0.00000007,0.0123,0.12,1.0307,307.91
0.02,0.04,0.00000009,0.0123,0.12,1.1314,324.37
0.035,0.01,0.00000008,0.0123,0.21,1.1224,321.34
0.00000163,0.07,0.05,0.0123,0.24,1.1068,314.72
0.02,0.01,0.05,0.0123,0.21,1.0566,318.15
0.005,0.03,0.00000008,0.0123,0.3,1.0819,320.78
0.015,0.08,0.00000008,0.0123,0.21,1.1525,327.32
0.02,0.05,0.02,0.0123,0.15,1.1553,325.54
0.01,0.05,0.00000008,0.0123,0.16,1.0999,321.8
0.00000163,0.04,0.00000009,0.0123,0.1,1.0687,313.91
0.01,0.03,0.00000008,0.0123,0.18,1.0762,321.28
0.01,0.1,0.00000008,0.0123,0.2,1.1538,328.29
0.02,0.07,0.00000008,0.0123,0.24,1.1608,327.44
0.02,0.04,0.01,0.0123,0.27,1.0893,324.09
0.03,0.0004,0.00000009,0.0123,0.1,1.0752,315.32
0.05,0.06,0.00000008,0.0123,0.27,1.101,326.64
0.00000163,0.0004,0.00000007,0.0123,0.22,1.0293,288.57
0.025,0.01,0.00000009,0.0123,0.24,1.1156,320.65
0.005,0.03,0.00000009,0.0123,0.21,1.0794,318.67
0.01,0.07,0.00000008,0.0123,0.2,1.1072,325.12
0.00000163,0.07,0.00000008,0.0123,0.26,1.0956,317.46
0.02,0.02,0.05,0.0123,0.17,1.126,321.38
0.01,0.06,0.01,0.0123,0.18,1.1495,325.24
0.035,0.0004,0.00000008,0.0123,0.24,1.095,316.25
0.00000163,0.01,0.00000007,0.0123,0.21,1.0294,303.74
0.005,0.04,0.00000009,0.0123,0.21,1.0874,321.62
0.01,0.02,0.00000008,0.0123,0.2,1.068,319.66
0.08,0.0004,0.01,0.0123,0.18,1.0863,316.49
0.03,0.02,0.00000008,0.0123,0.22,1.1331,323.32
0.025,0.0004,0.00000009,0.0123,0.12,1.0707,314.42
0.005,0.06,0.00000008,0.0123,0.16,1.1014,323.26
0.01,0.06,0.00000008,0.0123,0.12,1.1025,324.25
0.02,0.01,0.01,0.0123,0.23,1.0518,319.39
0.00000163,0.03,0.00000008,0.0123,0.32,1.0568,310.59
0.00000163,0.01,0.00000007,0.0123,0.32,1.0305,303.64
0.01,0.02,0.00000008,0.0123,0.08,1.0688,319.07
0.03,0.02,0.04,0.0123,0.22,1.1115,322.36
0.00000163,0.07,0.00000008,0.0123,0.14,1.0965,317.76
0.03,0.03,0.06,0.0123,0.24,1.1485,324.31
0.005,0.0004,0.00000008,0.0123,0.3,1.0306,305.94
0.06,0.07,0.02,0.0123,0.2,1.1571,328.75
0.005,0.02,0.00000008,0.0123,0.02,1.0699,316.96
0.08,0.01,0.03,0.0123,0.21,1.1361,322.74
0.06,0.05,0.00000008,0.0123,0.25,1.148,327.71
0.00000163,0.01,0.00000007,0.0123,0.24,1.0306,303.76
0.00000163,0.11,0.00000008,0.0123,0.24,1.1033,319.91
0.00000163,0.01,0.00000008,0.0123,0.02,1.0628,306.18
0.03,0.01,0.00000008,0.0123,0.3,1.1183,321.17
0.00000163,0.0004,0.00000009,0.0123,0.18,1.0306,288.6
0.00000163,0.05,0.00000008,0.0123,0.18,1.0867,315.02
0.00000163,0.0004,0.00000008,0.0123,0.22,1.0294,288.56
0.005,0.01,0.00000007,0.0123,0.2,1.0574,313.2
0.00000163,0.05,0.00000008,0.0123,0.12,1.0294,312.05
0.00000163,0.0004,0.00000008,0.0123,0.06,1.0306,288.73
0.01,0.02,0.01,0.0123,0.26,1.1187,320.77
0.01,0.01,0.00000009,0.0123,0.28,1.0568,314.79
0.02,0.03,0.00000008,0.0123,0.12,1.1285,323.77
0.02,0.0004,0.03,0.0123,0.24,1.0295,311.17
0.00000163,0.03,0.04,0.0123,0.23,1.074,309.39
0.04,0.02,0.00000008,0.0123,0.21,1.1231,323.51
0.00000163,0.0004,0.05,0.0123,0.3,1.0367,289.23
0.00000163,0.02,0.01,0.0123,0.23,1.0657,304.5
0.05,0.02,0.04,0.0123,0.23,1.1281,322.88
0.025,0.0004,0.00000008,0.0123,0.1,1.0704,314.34
0.02,0.01,0.13,0.0123,0.22,1.1169,319.54
